,DISTANCE,CASES,WEIGHT,VOLUME,ORIGIN ZIP,DEST ZIP,ACTUAL MODE,ACTUAL EQUIP,PU_APPT,DL_APPT
3175533,1063.3,1,0.28,0.01,17345,34994,MTNORAM.PARCEL,MTNORAM.53DV,7/27/2022 19:07,7/28/2022 18:07
2885785,804.3,3,3.87,0.18,17345,62226,MTNORAM.PARCEL,MTNORAM.53DV,9/19/2022 21:09,9/20/2022 19:09
1472577,759.8,194,15765.0,2174.0,92154,84104,CORP.TL,CORP.53DV,1/21/2022 1:01,1/24/2022 19:01
1116070,565.2,1,0.25,0.0,38134,60193,CORP.PARCEL,CORP.53DV,12/13/2021 21:12,12/14/2021 15:12
4075151,1591.2,864,48.6,13.27,8512,77385,MTNORAM.PARCEL,MTNORAM.53DV,10/21/2021 15:10,10/26/2021 22:10
3094932,339.9,2,3.33,0.15,17345,12866,MTNORAM.PARCEL,MTNORAM.53DV,7/19/2022 18:07,7/20/2022 21:07
2784329,494.8,1,2.88,0.24,37921,72143-7801,MTNORAM.PARCEL,MTNORAM.53DV,9/12/2022 21:09,9/13/2022 19:09
1581072,1798.8,9,0.42,0.04,38134,92782.0,CORP.PARCEL,CORP.53DV,10/18/2021 21:10,10/22/2021 1:10
3236847,139.5,1,0.13,0.01,17345,19963-1272,MTNORAM.PARCEL,MTNORAM.53DV,8/2/2022 21:08,8/3/2022 19:08
1785008,2788.9,1,30.0,4.63,90810,8201,CORP.PARCEL,CORP.53DV,11/12/2021 22:11,11/19/2021 16:11
3847088,456.7,2,1.65,0.1,17345,45036,MTNORAM.PARCEL,MTNORAM.53DV,3/14/2022 16:03,3/15/2022 21:03
3223681,1395.4,3,1.67,0.08,17345,75126,MTNORAM.PARCEL,MTNORAM.53DV,8/2/2022 16:08,8/3/2022 20:08
1514897,969.6,21,1.22,0.14,38134,33486,CORP.PARCEL,CORP.53DV,1/6/2022 15:01,1/12/2022 20:01
2878960,837.2,1064,42900.48,10.64,J6S 6L8,60544,MTNORAM.TL,MTNORAM.53DV,9/21/2022 4:09,9/22/2022 7:09
