,Unnamed: 0,Unnamed: 0.1,SHIPMENT ID,CUSTOMER,DISTANCE,CASES,WEIGHT,VOLUME,SOURCE LOCATION ID,ORIGIN NAME,ORIGIN CITY,ORIGIN STATE,ORIGIN ZIP,DEST LOCATION ID,CONSIGNEE NAME,DEST CITY,DEST STATE,DEST ZIP,ACTUAL CARRIER,ACTUAL MODE,ACTUAL EQUIP,LINEHAUL COSTS,FUEL COSTS,ACC. COSTS,TOTAL ACTUAL COST,PU_APPT,DL_APPT,PU_ARRIVAL (X3),PU_DEPARTED (AF),DL_ARRIVAL (X1),DL_DEPARTED (D1),Insert Date
219350,219350,219350,EXEL.B22249E02679,2941159810065373912,2116.0,1,0.35,0.04,-6304456864783580834,-939722273477065836,Pleasant Prairie,WI,53158,8027211148250441908,-8919510730488320676,FAIRFIELD,CA,94533,-5431909444047277013,CORP.PARCEL,CORP.53DV,6.4,0.0,0.0,6.4,9/6/2022 18:09,9/9/2022 0:09,9/6/2022 13:33,9/6/2022 20:01,NO EVENT,9/8/2022 17:12,33:53.0
269251,269251,269251,EXEL.B22179E00287,-697198312127870698,258.0,79,7315.48,1943.18,5205506108415621837,689470035470598634,HAGERSTOWN,MD,21740,-4291225833868569268,-2235993967614626577,ROCKLEIGH,NJ,7647,-9144606003389011363,CORP.TL,CORP.53DV,1970.3,0.0,0.0,1970.3,6/29/2022 20:00,6/29/2022 20:00,6/29/2022 1:33,NO EVENT,NO EVENT,6/29/2022 14:54,19:47.0
1582042,71067,71067,EXEL.B21264E07770,2941159810065373912,1906.2,26,2.41,0.42,26570635397185807,7582157168243131518,Memphis,TN,38134,-3278356521270470302,5052684791390019203,MERIDIAN,ID,83642.0,-5431909444047277013,CORP.PARCEL,CORP.53DV,4.32,0.0,0.0,4.32,10/7/2021 17:10,10/13/2021 23:10,10/7/2021 12:01,10/7/2021 19:41,NO EVENT,10/13/2021 17:10,41:17.0
1434640,339994,339994,EXEL.B21343E09165,562003601178532658,426.1,1,2.05,0.0,-7414928951098249859,6249500791195756829,HORN LAKE,MS,38637,5342125289740237248,7465478493193878009,LAFAYETTE,LA,70508,1896630384904438820,CORP.PARCEL,CORP.53DV,9.74,0.0,0.0,9.74,12/10/2021 23:12,12/13/2021 14:12,NO EVENT,NO EVENT,NO EVENT,NO EVENT,12:04.0
2039931,528956,528956,EXEL.B21279E05309,8163086784792219814,369.5,274,1988.82,49690.06,-186133029393346256,6950052291373065104,FAIRBURN,GA,30213,3664920447018089927,3708089275834537266,MEMPHIS,TN,38118,7829521301973152978,CORP.LTL,CORP.53DV,138.71,22.75,0.0,161.46,10/7/2021 14:10,10/14/2021 14:10,10/7/2021 10:56,10/7/2021 12:11,10/14/2021 8:39,10/14/2021 9:23,26:02.0
2243523,178630,178630,EXEL.B22159E06738,2941159810065373912,1428.0,1,17.4,0.64,-6304456864783580834,-939722273477065836,Pleasant Prairie,WI,53158,-394222192460734426,7651685719356173359,SUNRISE,FL,33325,-4290289884386242506,CORP.PARCEL,CORP.53DV,6.85,0.0,0.0,6.85,6/9/2022 17:06,6/14/2022 18:06,6/9/2022 12:31,NO EVENT,NO EVENT,6/14/2022 14:37,34:30.0
3235521,533865,533865,MTNORAM.B22214M02642,7485008617214758133,393.5,1,0.54,0.05,-8932952547986512276,-1774819625051906144,MANCHESTER,PA,17345,7097241020884603786,3707315485211322666,CHESTNUT HILL,MA,02467-1710,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,0.54,0.0,0.0,0.54,8/2/2022 21:08,8/3/2022 17:08,8/2/2022 17:53,8/2/2022 17:42,NO EVENT,8/3/2022 13:58,36:38.0
3795359,230168,230168,MTNORAM.B22048M02212,7485008617214758133,179.2,1,0.28,0.01,-8042456250106848909,-1774819625051906144,KNOXVILLE,TN,37921,-8104180007076674577,-7459170142095252362,NASHVILLE,TN,37211-4986,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,0.28,0.0,0.0,0.28,2/21/2022 22:02,2/22/2022 22:02,2/21/2022 17:44,2/22/2022 5:00,NO EVENT,2/22/2022 16:27,32:23.0
1894487,383512,383512,EXEL.B21287E01460,562003601178532658,321.17,1,2.32,1079.37,-7414928951098249859,6249500791195756829,HORN LAKE,MS,38637,2711012669053534055,-8989876156670841974,HARDINSBURG,KY,40143-2610,-4290289884386242506,CORP.PARCEL,CORP.53DV,5.72,0.0,0.0,5.72,10/15/2021 22:10,10/19/2021 20:10,NO EVENT,NO EVENT,NO EVENT,NO EVENT,48:56.0
2322533,257640,257640,EXEL.B22101E02648,-697198312127870698,231.9,2,215.0,50.23,8212747058567458201,-4414418009722620227,AVON,IN,46168,-8247417484623264778,-4960611799008949281,BOWLING GREEN,OH,43402,506116562772293284,CORP.LTL,CORP.53DV,97.2,25.27,0.0,122.47,4/12/2022 21:00,4/14/2022 21:00,4/12/2022 8:30,4/12/2022 14:31,4/13/2022 10:45,4/13/2022 10:50,51:28.0
674166,42941,42941,EXEL.B22046E07205,2941159810065373912,940.8,1,0.25,0.0,26570635397185807,7582157168243131518,Memphis,TN,38134,542102998649246565,-9174739725610578437,WEST PALM BEACH,FL,33401,1896630384904438820,CORP.PARCEL,CORP.53DV,7.4,0.0,0.0,7.4,2/16/2022 15:02,2/18/2022 0:02,2/16/2022 9:34,2/16/2022 18:52,NO EVENT,2/17/2022 19:45,18:32.0
2352838,287945,287945,EXEL.B22146E01248,-697198312127870698,373.4,71,6280.0,2037.08,5205506108415621837,689470035470598634,HAGERSTOWN,MD,21740,-7212318003999791362,1860862011070997626,GREEN ISLAND,NY,12183,-4554843221218222556,CORP.TL,CORP.53DV,1459.99,224.15,390.0,2074.14,5/27/2022 20:00,5/31/2022 20:00,5/27/2022 10:52,5/27/2022 11:00,5/31/2022 4:00,5/31/2022 6:30,48:55.0
4571806,422270,422270,MTNORAM.B22158M00108,7485008617214758133,536.5,5,7.18,0.36,-8932952547986512276,-1774819625051906144,MANCHESTER,PA,17345,-1337929808768753067,1499308060326498370,CONWAY,SC,29526,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,7.18,0.0,0.0,7.18,6/7/2022 21:06,6/8/2022 18:06,6/7/2022 17:41,6/7/2022 23:06,NO EVENT,6/8/2022 14:59,21:29.0
4166833,17297,17297,MTNORAM.B22165M00495,7485008617214758133,890.3,1,0.82,0.08,-8042456250106848909,-1774819625051906144,KNOXVILLE,TN,37921,4780120552860646571,-2640713062969990882,MIAMI,FL,33175,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,0.82,0.0,0.0,0.82,6/14/2022 21:06,6/15/2022 18:06,6/14/2022 17:29,6/15/2022 3:25,NO EVENT,6/15/2022 14:06,03:34.0
1486018,391372,391372,EXEL.B21341E03113,-697198312127870698,223.8,6,381.0,155.28,-7212318003999791362,1860862011070997626,GREEN ISLAND,NY,12183,-3852024459908775501,-2615314585810958930,ROCHESTER,NY,14623,-1279486390322896842,CORP.LTL,CORP.53DV,139.08,0.0,0.0,139.08,12/14/2021 16:12,12/15/2021 20:00,NO EVENT,NO EVENT,12/14/2021 7:01,12/14/2021 7:55,12:27.0
2630478,565585,565585,EXEL.B22104E00805,5233586626808759321,48.4,80,3.0,1.17,-3188442586190083187,2218334986842398260,HOUSTON,TX,77040,7589969811363952040,3176082093477375344,ROSHARON,TX,77583,-4290289884386242506,CORP.TL,CORP.53BK,10001.0,0.0,0.0,10001.0,4/14/2022 13:04,4/14/2022 14:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT,55:30.0
2783349,81693,81693,MTNORAM.B22249M03727,-5306179411193977156,839.0,25,5.78,0.43,-7297574707520177944,3940401866508407889,CRANBURY,NJ,8512,880351815820172805,624931710838887340,BRUNSWICK,GA,31520,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,5.78,0.0,0.0,5.78,9/7/2022 23:09,9/13/2022 18:09,9/7/2022 19:06,9/8/2022 20:25,NO EVENT,9/13/2022 14:07,32:49.0
4809248,659712,659712,MTNORAM.B22098M01739,7485008617214758133,477.0,2,0.36,0.01,-8932952547986512276,-1774819625051906144,MANCHESTER,PA,17345,640549913458628231,-1788027505395746336,BATAVIA,OH,45103,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,0.36,0.0,0.0,0.36,4/11/2022 19:04,4/13/2022 17:04,4/11/2022 15:47,4/11/2022 23:25,NO EVENT,4/13/2022 13:58,14:20.0
3234242,532586,532586,MTNORAM.B22214M02474,7485008617214758133,715.2,1,1.38,0.07,-8932952547986512276,-1774819625051906144,MANCHESTER,PA,17345,6119877283295684723,-6615874645857977096,TULLAHOMA,TN,37388,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,1.38,0.0,0.0,1.38,8/2/2022 21:08,8/3/2022 20:08,8/2/2022 17:54,8/2/2022 19:00,NO EVENT,8/3/2022 15:06,16:02.0
