,zipcode,state,lng,lat
0,01001,MA,-72.622739,42.070206
1,01002,MA,-72.51565,42.377017
2,01005,MA,-72.108354,42.409698
3,01007,MA,-72.410953,42.275103
4,01008,MA,-72.936114,42.182949
5,01010,MA,-72.188455,42.116543
6,01011,MA,-72.988761,42.279421
7,01012,MA,-72.833309,42.38167
8,01013,MA,-72.607962,42.162046
9,01020,MA,-72.576142,42.176443
10,01022,MA,-72.558657,42.196672
11,01026,MA,-72.905767,42.435296
12,01027,MA,-72.679921,42.264319
13,01028,MA,-72.505565,42.067203
14,01030,MA,-72.675077,42.07182
15,01031,MA,-72.198585,42.332194
16,01032,MA,-72.844092,42.466234
17,01033,MA,-72.520001,42.255704
18,01034,MA,-72.908793,42.070234
19,01035,MA,-72.571499,42.36062
20,01036,MA,-72.431823,42.064756
21,01038,MA,-72.616735,42.38439
22,01039,MA,-72.703178,42.381799
23,01040,MA,-72.626193,42.202007
24,01050,MA,-72.873341,42.265301
25,01053,MA,-72.703403,42.354292
26,01054,MA,-72.499334,42.46823
27,01056,MA,-72.471012,42.172823
28,01057,MA,-72.319634,42.101017
29,01060,MA,-72.654245,42.324662
30,01068,MA,-72.051265,42.348033
31,01069,MA,-72.328785,42.176233
32,01070,MA,-72.918289,42.514393
33,01071,MA,-72.840343,42.147063
34,01072,MA,-72.421342,42.481968
35,01073,MA,-72.719381,42.224697
36,01075,MA,-72.581137,42.237537
37,01077,MA,-72.770588,42.051099
38,01080,MA,-72.362352,42.181894
39,01081,MA,-72.204592,42.062734
40,01082,MA,-72.258285,42.261831
41,01085,MA,-72.754318,42.129484
42,01089,MA,-72.641109,42.115066
43,01092,MA,-72.203639,42.20734
44,01095,MA,-72.446415,42.124506
45,01096,MA,-72.777989,42.408522
46,01098,MA,-72.931427,42.384293
47,01103,MA,-72.588735,42.1029
48,01104,MA,-72.577769,42.128848
49,01105,MA,-72.578312,42.099931
50,01106,MA,-72.5676,42.050658
51,01107,MA,-72.606544,42.117907
52,01108,MA,-72.558432,42.085314
53,01109,MA,-72.554349,42.114455
54,01118,MA,-72.527445,42.092937
55,01119,MA,-72.51211,42.12473
56,01128,MA,-72.488903,42.094397
57,01129,MA,-72.487622,42.122263
58,01151,MA,-72.505048,42.153225
59,01201,MA,-73.247088,42.453086
60,01220,MA,-73.117225,42.622319
61,01222,MA,-73.320195,42.059552
62,01223,MA,-73.120325,42.359363
63,01225,MA,-73.157964,42.561059
64,01226,MA,-73.160259,42.475046
65,01230,MA,-73.36065,42.195922
66,01235,MA,-73.092433,42.434604
67,01236,MA,-73.374544,42.265296
68,01237,MA,-73.248737,42.541961
69,01238,MA,-73.231696,42.298994
70,01240,MA,-73.271322,42.364241
71,01243,MA,-73.006226,42.34795
72,01245,MA,-73.213452,42.187847
73,01247,MA,-73.10999,42.69865
74,01253,MA,-73.082093,42.18988
75,01254,MA,-73.364457,42.378398
76,01255,MA,-73.116285,42.109429
77,01256,MA,-73.023281,42.576964
78,01257,MA,-73.361091,42.100102
